initial;formatted;suggestions
en:united-states;United States;
en:france;France;
en:switzerland;Switzerland;
en:germany;Germany;
en:united-kingdom;United Kingdom;
en:spain;Spain;
en:belgium;Belgium;
en:australia;Australia;
en:italy;Italy;
en:russia;Russia;
en:canada;Canada;
en:portugal;Portugal;
en:netherlands;Netherlands;
en:austria;Austria;
en:denmark;Denmark;
en:brazil;Brazil;
en:czech-republic;Czechia;
en:hungary;Hungary;
en:thailand;Thailand;
en:romania;Romania;
en:reunion;France;
en:guadeloupe;France;
en:luxembourg;Luxembourg;
en:ireland;Ireland;
en:japan;Japan;
en:poland;Poland;
en:china;China;
en:morocco;Morocco;
en:tunisia;Tunisia;
en:taiwan;Taiwan;
en:algeria;Algeria;
en:sweden;Sweden;
en:hong-kong;China;
en:serbia;Serbia;
en:chile;Chile;
en:martinique;France;
en:new-caledonia;New Caledonia (EEZ);
en:new-zealand;New Zealand;
en:french-guiana;France;
en:norway;Norway;
en:greece;Greece;
en:saudi-arabia;Saudi Arabia;
en:united-arab-emirates;United Arab Emirates;
en:mexico;Mexico;
en:french-polynesia;France;
en:india;India;
en:bulgaria;Bulgaria;
en:argentina;Argentina;
en:singapore;Singapore;
en:senegal;Senegal;
en:european-union;;Bulgaria, France
en:iraq;Iraq;
en:israel;Israel;
en:finland;Finland;
en:turkey;Turkey;
en:cambodia;Cambodia;
en:slovenia;Slovenia;
en:saint-pierre-and-miquelon;France;
en:lebanon;Lebanon;
en:south-africa;South Africa;
en:colombia;Colombia;
en:south-korea;South Korea;
en:indonesia;Indonesia;
en:iceland;Iceland;
en:mauritius;Mauritius;
en:slovakia;Slovakia;
en:cote-d-ivoire;Côte d'Ivoire;
fr:quebec;Canada;
en:qatar;Qatar;
en:kuwait;Kuwait;
en:philippines;Philippines;
en:montenegro;Montenegro;
fr:deutschland;Germany;
en:ukraine;Ukraine;
en:scotland;United Kingdom;
en:andorra;Andorra;
en:peru;Peru;
en:vietnam;Vietnam;
en:deutschland;Germany;
en:costa-rica;Costa Rica;
en:croatia;Croatia;
en:malaysia;Malaysia;
en:monaco;Monaco;
en:bosnia-and-herzegovina;Bosnia and Herzegovina;
fr:frankreich;France;
en:latvia;Latvia;
